alpha.liquid,alpha.vapour,heatFlux.structure,p,T.interface,T.liquid,T.vapour,U.liquid_Magnitude
0.391739,0.0427527,1.50372e+06,1.47522e+07,613.949,612.506,613.962,5.37325
0.39208,0.0424118,1.50372e+06,1.47523e+07,613.949,612.493,613.962,5.36885
0.392421,0.0420709,1.50372e+06,1.47523e+07,613.95,612.479,613.963,5.36445
0.392762,0.04173,1.50372e+06,1.47524e+07,613.95,612.466,613.963,5.36005
0.393103,0.0413891,1.50372e+06,1.47524e+07,613.95,612.453,613.963,5.35565
0.393444,0.0410482,1.50371e+06,1.47525e+07,613.951,612.439,613.963,5.35126
0.393785,0.0407073,1.50371e+06,1.47526e+07,613.951,612.426,613.963,5.34686
0.394126,0.0403664,1.50371e+06,1.47526e+07,613.951,612.412,613.963,5.34246
0.394461,0.0400311,1.50371e+06,1.47527e+07,613.952,612.398,613.964,5.33816
0.394794,0.039698,1.50371e+06,1.47528e+07,613.952,612.384,613.964,5.3339
0.395127,0.0393649,1.5037e+06,1.47528e+07,613.952,612.37,613.964,5.32964
0.39546,0.0390319,1.5037e+06,1.47529e+07,613.953,612.355,613.964,5.32539
0.395793,0.0386988,1.5037e+06,1.47529e+07,613.953,612.341,613.964,5.32113
0.396126,0.0383658,1.5037e+06,1.4753e+07,613.953,612.326,613.965,5.31687
0.396459,0.0380327,1.5037e+06,1.4753e+07,613.954,612.312,613.965,5.31261
0.396793,0.0376997,1.5037e+06,1.47531e+07,613.954,612.297,613.965,5.30835
0.397126,0.0373666,1.50369e+06,1.47532e+07,613.954,612.283,613.965,5.3041
0.397459,0.0370335,1.50369e+06,1.47532e+07,613.955,612.269,613.965,5.29984
0.397792,0.0367005,1.50369e+06,1.47533e+07,613.955,612.254,613.966,5.29558
0.398125,0.0363674,1.50369e+06,1.47533e+07,613.955,612.24,613.966,5.29132
0.398458,0.0360344,1.50369e+06,1.47534e+07,613.956,612.225,613.966,5.28706
0.398788,0.0357039,1.50368e+06,1.47535e+07,613.956,612.211,613.966,5.28285
0.399112,0.0353799,1.50368e+06,1.47535e+07,613.956,612.195,613.966,5.27874
0.399436,0.0350559,1.50368e+06,1.47536e+07,613.957,612.18,613.966,5.27463
0.39976,0.0347319,1.50368e+06,1.47536e+07,613.957,612.164,613.967,5.27052
0.400084,0.0344079,1.50367e+06,1.47537e+07,613.957,612.149,613.967,5.26641
